frame.time_epoch,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.len,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.flags.ece,tcp.window_size_value,tcp.hdr_len
1766195326.566697344,6,10.1.0.9,10.1.0.19,3000,59378,73,5,False,False,False,True,True,False,False,False,501,32
1766195326.566722645,6,10.1.0.19,10.1.0.9,59378,3000,68,0,False,False,False,False,True,False,False,False,899,32
1766195326.570145399,6,10.1.0.19,10.1.0.9,59362,3000,408,340,False,False,False,True,True,False,False,False,899,32
1766195326.580146848,6,10.1.0.9,10.1.0.19,3000,59352,7308,7240,False,False,False,True,True,False,False,False,501,32
1766195326.580255253,6,10.1.0.19,10.1.0.9,59352,3000,68,0,False,False,False,False,True,False,False,False,785,32
1766195326.580263753,6,10.1.0.9,10.1.0.19,3000,59352,1833,1765,False,False,False,True,True,False,False,False,501,32
1766195326.580280554,6,10.1.0.19,10.1.0.9,59352,3000,68,0,False,False,False,False,True,False,False,False,772,32
1766195326.580348157,6,10.1.0.9,10.1.0.19,3000,59352,73,5,False,False,False,True,True,False,False,False,501,32
1766195326.580365658,6,10.1.0.19,10.1.0.9,59352,3000,68,0,False,False,False,False,True,False,False,False,772,32
1766195326.593883864,6,10.1.0.9,10.1.0.19,3000,59362,581,513,False,False,False,True,True,False,False,False,501,32
1766195326.593997269,6,10.1.0.19,10.1.0.9,59362,3000,68,0,False,False,False,False,True,False,False,False,899,32
1766195326.595653344,6,10.1.0.9,10.1.0.19,3000,59362,9073,9005,False,False,False,True,True,False,False,False,501,32
1766195326.595940157,6,10.1.0.19,10.1.0.9,59362,3000,68,0,False,False,False,False,True,False,False,False,840,32
1766195326.596140966,6,10.1.0.9,10.1.0.19,3000,59362,73,5,False,False,False,True,True,False,False,False,501,32
1766195326.596241670,6,10.1.0.19,10.1.0.9,59362,3000,68,0,False,False,False,False,True,False,False,False,896,32
1766195326.653206827,6,10.1.0.19,10.1.0.9,59394,3000,412,344,False,False,False,True,True,False,False,False,899,32
1766195326.668444210,6,10.1.0.9,10.1.0.19,3000,59394,581,513,False,False,False,True,True,False,False,False,501,32
1766195326.668548915,6,10.1.0.19,10.1.0.9,59394,3000,68,0,False,False,False,False,True,False,False,False,899,32
1766195326.669405253,6,10.1.0.9,10.1.0.19,3000,59394,7308,7240,False,False,False,True,True,False,False,False,501,32
1766195326.669466256,6,10.1.0.19,10.1.0.9,59394,3000,68,0,False,False,False,False,True,False,False,False,852,32
1766195326.669472156,6,10.1.0.9,10.1.0.19,3000,59394,1833,1765,False,False,False,True,True,False,False,False,501,32
1766195326.669489057,6,10.1.0.19,10.1.0.9,59394,3000,68,0,False,False,False,False,True,False,False,False,839,32
1766195326.669547060,6,10.1.0.9,10.1.0.19,3000,59394,73,5,False,False,False,True,True,False,False,False,501,32
1766195326.669570561,6,10.1.0.19,10.1.0.9,59394,3000,68,0,False,False,False,False,True,False,False,False,899,32
1766195326.735857236,6,10.1.0.19,10.1.0.9,59404,3000,369,301,False,False,False,True,True,False,False,False,899,32
1766195326.755751128,6,10.1.0.9,10.1.0.19,3000,59404,1085,1017,False,False,False,True,True,False,False,False,501,32
1766195326.755848933,6,10.1.0.19,10.1.0.9,59404,3000,68,0,False,False,False,False,True,False,False,False,895,32
1766195326.768572804,6,10.1.0.19,10.1.0.9,59378,3000,360,292,False,False,False,True,True,False,False,False,899,32
1766195326.773952745,6,10.1.0.9,10.1.0.19,3000,59378,450,382,False,False,False,True,True,False,False,False,501,32
1766195326.774114353,6,10.1.0.19,10.1.0.9,59378,3000,68,0,False,False,False,False,True,False,False,False,900,32
1766195326.774569073,6,10.1.0.9,10.1.0.19,3000,59378,4098,4030,False,False,False,True,True,False,False,False,501,32
1766195326.774621775,6,10.1.0.19,10.1.0.9,59378,3000,68,0,False,False,False,False,True,False,False,False,874,32
1766195326.774682578,6,10.1.0.9,10.1.0.19,3000,59378,73,5,False,False,False,True,True,False,False,False,501,32
1766195326.774706979,6,10.1.0.19,10.1.0.9,59378,3000,68,0,False,False,False,False,True,False,False,False,874,32
1766195326.788706607,6,10.1.0.19,10.1.0.9,59352,3000,341,273,False,False,False,True,True,False,False,False,828,32
1766195326.798601251,6,10.1.0.19,10.1.0.9,59362,3000,436,368,False,False,False,True,True,False,False,False,899,32
1766195326.832844788,6,10.1.0.9,10.1.0.19,3000,59362,1085,1017,False,False,False,True,True,False,False,False,501,32
