frame.time_epoch,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.len,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.flags.ece,tcp.window_size_value,tcp.hdr_len
1766194339.946160972,6,10.1.0.14,10.1.0.7,38618,3000,68,0,True,False,False,False,True,False,False,False,502,32
1766194339.947031315,6,10.1.0.7,10.1.0.14,3000,38618,68,0,True,False,False,False,True,False,False,False,510,32
1766194339.947105219,6,10.1.0.14,10.1.0.7,38618,3000,68,0,False,False,False,False,True,False,False,False,502,32
1766194339.948949210,6,10.1.0.14,10.1.0.7,38622,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194339.948961210,6,10.1.0.7,10.1.0.14,3000,38622,76,0,False,True,False,False,True,False,False,False,65160,40
1766194339.948979311,6,10.1.0.14,10.1.0.7,38622,3000,68,0,False,False,False,False,True,False,False,False,502,32
1766194339.949038714,6,10.1.0.14,10.1.0.7,38622,3000,285,217,False,False,False,True,True,False,False,False,502,32
1766194339.949044315,6,10.1.0.7,10.1.0.14,3000,38622,68,0,False,False,False,False,True,False,False,False,508,32
1766194339.968059855,6,10.1.0.7,10.1.0.14,3000,38622,1416,1348,False,False,False,True,True,False,False,False,508,32
1766194339.968134759,6,10.1.0.14,10.1.0.7,38622,3000,68,0,False,False,False,False,True,False,False,False,525,32
1766194345.968028131,6,10.1.0.7,10.1.0.14,3000,38622,68,0,True,False,False,False,True,False,False,False,508,32
1766194346.015473073,6,10.1.0.14,10.1.0.7,38622,3000,68,0,False,False,False,False,True,False,False,False,525,32
1766194401.707423963,6,10.1.0.14,10.1.0.7,38622,3000,68,0,True,False,False,False,True,False,False,False,525,32
1766194401.707433563,6,10.1.0.7,10.1.0.14,3000,38622,68,0,False,False,False,False,True,False,False,False,508,32
1766194405.148326156,6,10.111.111.146,10.1.0.14,4444,60242,56,0,False,False,True,False,True,False,False,False,0,20
1766194408.247236815,6,10.111.111.146,10.1.0.14,4444,51502,56,0,False,False,True,False,True,False,False,False,0,20
1766194410.975638752,6,10.111.111.146,10.1.0.14,4444,51514,56,0,False,False,True,False,True,False,False,False,0,20
1766194414.270730854,6,10.111.111.146,10.1.0.14,4444,51518,56,0,False,False,True,False,True,False,False,False,0,20
1766194416.830100616,6,10.111.111.146,10.1.0.14,4444,51530,56,0,False,False,True,False,True,False,False,False,0,20
1766194805.640912324,6,10.1.0.17,10.1.0.7,51644,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194805.641051230,6,10.1.0.7,10.1.0.17,3000,51644,76,0,False,True,False,False,True,False,False,False,65160,40
1766194805.641097432,6,10.1.0.17,10.1.0.7,51644,3000,68,0,False,False,False,False,True,False,False,False,502,32
1766194805.647494211,6,10.1.0.17,10.1.0.7,51644,3000,68,0,True,False,False,False,True,False,False,False,502,32
1766194805.650552045,6,10.1.0.7,10.1.0.17,3000,51644,68,0,False,False,False,False,True,False,False,False,510,32
1766194805.654057798,6,10.1.0.17,10.1.0.7,51654,3000,76,0,False,True,False,False,False,False,False,False,64240,40
